Amount,Date,Sender,Recipient,Note
-90.85,2016-11-01T00:00:00.000Z,Devin Hollis,Adam Sanders,Breakfast on Wednesday 🍍🥪
-50.65,2016-11-01T00:00:00.000Z,Courtnie Mccarty,Adam Sanders,Brunch on Monday 🍞🍖
29.64,2016-11-02T00:00:00.000Z,Adam Sanders,Nafeesa Mitchell,Dinner on Monday 🤯🥒
82.83,2016-11-02T00:00:00.000Z,,Mta*metrocard Machine,Travel
55.35,2016-11-03T00:00:00.000Z,,ConEd,Health Care
43.17,2016-11-03T00:00:00.000Z,,Mta*metrocard Machine,Merchandise
40.78,2016-11-04T00:00:00.000Z,,Uber Trip,Merchandise
54.59,2016-11-04T00:00:00.000Z,,Publix #719,Other Services
-19.61,2016-11-05T00:00:00.000Z,Jo Pena,Adam Sanders,Snacks on Monday 🥝🌯
94.31,2016-11-05T00:00:00.000Z,Adam Sanders,Todd Mcmillan,Dinner on Tuesday 🥩🍒
-20.52,2016-11-06T00:00:00.000Z,Amelia-Lily Pham,Adam Sanders,Breakfast on Monday 🌯🥚
-54.98,2016-11-06T00:00:00.000Z,Missy Hulme,Adam Sanders,Brunch on Saturday 🌮🥞
1,2016-11-07T01:00:00.000Z,,Atlantic Wines And Liquor,Travel
84.38,2016-11-07T01:00:00.000Z,Adam Sanders,Thelma Stacey,Groceries on Monday 🍍🥩
53.84,2016-11-08T01:00:00.000Z,,Sq *los Tacos Al Pastor,Merchandise
2.05,2016-11-08T01:00:00.000Z,,Trader Joe's #539 Qps,Other Services
87.64,2016-11-09T01:00:00.000Z,,Exxonmobil 97303341,Dining
74.29,2016-11-09T01:00:00.000Z,,Karakatta,Dining
41.36,2016-11-10T01:00:00.000Z,,Amagansett Supersav,Dining
30.61,2016-11-10T01:00:00.000Z,,Publix #719,Travel
66.94,2016-11-11T01:00:00.000Z,,Bp#Azk12 Azk12,Travel
86.67,2016-11-11T01:00:00.000Z,,Playstationnetwork,Other Services
37.8,2016-11-12T01:00:00.000Z,,Proof Of The Pudding At G,Dining
56.62,2016-11-12T01:00:00.000Z,,Trader Joe's #539 Qps,Merchandise
7.31,2016-11-13T01:00:00.000Z,,Mta*metrocard Machine,Health Care
-23.86,2016-11-13T01:00:00.000Z,Nabilah Knowles,Adam Sanders,Breakfast on Monday 🥑🥑
29.8,2016-11-14T01:00:00.000Z,Adam Sanders,Missy Hulme,Dinner on Wednesday 🥚🍔
-81.91,2016-11-14T01:00:00.000Z,Dominick Arellano,Adam Sanders,Drinks on Saturday 🍌🥳
64.88,2016-11-15T01:00:00.000Z,,Fellini's Pizza-buckhe,Phone/Cable
10.51,2016-11-15T01:00:00.000Z,Adam Sanders,Shaurya Horne,Drinks on Tuesday 🍑🍈
77.42,2016-11-16T01:00:00.000Z,,Trader Joe's #539 Qps,Health Care
48.24,2016-11-16T01:00:00.000Z,,ConEd,Health Care
7.24,2016-11-17T01:00:00.000Z,Adam Sanders,Shaurya Horne,Drinks on Thursday 😍🍋
-1.23,2016-11-17T01:00:00.000Z,Shaurya Horne,Adam Sanders,Dinner on Friday 🧀🥞
9.49,2016-11-18T01:00:00.000Z,,Amagansett Supersav,Travel
88.41,2016-11-18T01:00:00.000Z,Adam Sanders,Anthony Palacios,Dinner on Thursday 👻🌭
37.5,2016-11-19T01:00:00.000Z,,Trader Joe's #539 Qps,Health Care
50.97,2016-11-19T01:00:00.000Z,,Music Midtown,Travel
89.14,2016-11-20T01:00:00.000Z,Adam Sanders,Alivia Mackay,Groceries on Thursday 🥔🍓
62.78,2016-11-20T01:00:00.000Z,Adam Sanders,Jadene Holding,Drinks on Tuesday 🍟⛄️
38.34,2016-11-21T01:00:00.000Z,,Tm *atlanta United Fc,Health Care
